Sample;SPECIES;MLST-type;previously_failed;Total length;# contigs (>= 0 bp);# contigs (>= 1000 bp);# contigs (>= 5000 bp);# contigs (>= 10000 bp);# contigs (>= 25000 bp);# contigs (>= 50000 bp);Total length (>= 0 bp);Total length (>= 1000 bp);Total length (>= 5000 bp);Total length (>= 10000 bp);Total length (>= 25000 bp);Total length (>= 50000 bp);# contigs;Largest contig;GC (%);N50;N75;L50;L75;# N's per 100 kbp
ECO-JSC-RGN-105456;ecoli;10.0;FALSE;4471518;79;70;57;52;46;31;4471518;4465245;4436292;4398419;4293686;3743940;79;283926;5073;127681;61575;12;25;438
ECO-JSC-RGN-105457;ecoli;154.0;FALSE;4837388;59;52;47;46;38;29;4837388;4831735;4823323;4815776;4670383;4320241;59;407840;5046;191861;92067;10;19;294
ECO-JSC-RGN-105451;ecoli;new?;FALSE;4845488;69;64;49;43;40;27;4845488;4842012;4808451;4765634;4722372;4224120;69;466482;5068;172755;93424;10;19;163
ECO-JSC-RGN-105231;ecoli;533.0;FALSE;4863366;84;66;48;41;35;24;4863366;4849921;4808645;4750410;4655584;4236071;84;585311;5067;203776;102659;8;17;387
ECO-JSC-RGN-105442;ecoli;10?;FALSE;4900557;136;120;75;64;47;32;4900557;4888995;4781280;4702392;4451828;3924056;136;263276;5047;125643;58692;14;28;121
ECO-JSC-RGN-105443;ecoli;10.0;FALSE;4903909;138;117;76;67;47;32;4903909;4889089;4792386;4728723;4414022;3865769;138;263464;5047;113478;57151;14;29;1372
ECO-JSC-RGN-105454;ecoli;2450.0;FALSE;4912530;204;169;121;98;66;32;4912530;4889577;4760524;4586862;4076279;2865182;204;209098;5084;59235;33464;25;53;786
KLP-JSC-RGN-105204;ecoli;10.0;FALSE;4914435;125;108;72;60;49;26;4914435;4902428;4814116;4726728;4551766;3683215;125;400941;5067;132454;49715;13;27;45
ECO-JSC-RGN-105234;ecoli;155.0;FALSE;4929695;158;138;104;87;58;31;4929695;4915579;4827755;4700022;4255504;3318199;158;335745;5074;80106;38889;18;40;341
ECO-JSC-RGN-103689;ecoli;131.0;FALSE;4930159;77;64;49;41;30;26;4930159;4920815;4875256;4819457;4647304;4493670;77;437610;5074;191771;109255;9;17;124
KLP-JSC-RGN-105170;ecoli;155.0;FALSE;4932999;155;138;106;86;55;33;4932999;4921272;4848537;4700341;4224181;3478803;155;335950;5075;82473;39558;18;39;284
ECO-JSC-RGN-105247;ecoli;162.0;FALSE;4964893;116;97;75;63;48;26;4964893;4951895;4893281;4804407;4522605;3754453;116;444229;5063;176214;51480;11;26;532
ECO-JSC-RGN-105244;ecoli;162.0;FALSE;4967988;108;92;70;58;44;25;4967988;4957394;4897161;4806461;4550798;3852910;108;634254;5063;176854;54951;10;23;586
ECO-JSC-RGN-105250;ecoli;131.0;FALSE;4976658;98;85;71;58;44;32;4976658;4967383;4927437;4842628;4601398;4151630;98;248527;5069;134325;79283;14;26;946
ECO-JSC-RGN-103710;ecoli;131.0;FALSE;4978416;105;78;49;43;31;23;4978416;4960821;4891719;4845038;4674921;4392117;105;449274;5066;220217;137827;8;15;496
ECO-JSC-RGN-105243;ecoli;131.0;FALSE;4981470;68;59;49;40;32;26;4981470;4975878;4950981;4893498;4743943;4536172;68;393308;5069;191132;124499;10;17;54
ECO-JSC-RGN-104552;ecoli;131.0;FALSE;4981879;74;62;50;41;30;25;4981879;4973707;4942829;4880530;4693846;4511890;74;436037;507;191127;124499;9;16;556
ECO-JSC-RGN-105248;ecoli;131.0;FALSE;4981960;79;70;57;46;39;30;4981960;4975547;4939505;4865400;4734035;4424461;79;400111;507;158854;94552;10;21;737
