GCA_014169115.1_ASM1416911v1,plasmid_AD482,AP022075.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AB595,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AB595,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA977,AP022074.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022072.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022072.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022069.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AC748,AP022076.1,GCA_014169115.1
GCA_014169115.1_ASM1416911v1,plasmid_AB446,AP022073.1,GCA_014169115.1
