"strain","SEQUENCE","atbr_count"
"GCA_003812945.1_ASM381294v1","CP033847.1",1
"GCA_006352265.1_ASM635226v1","CP040068.1",6
"GCA_006352265.1_ASM635226v1","CP040070.1",5
"GCA_006352265.1_ASM635226v1","CP040071.1",1
"GCA_009720465.1_ASM972046v1","CP041956.1",7
"GCA_009720465.1_ASM972046v1","CP041957.1",5
"GCA_009720465.1_ASM972046v1","CP041959.1",1
"GCA_009905115.1_ASM990511v1","CP047572.1",6
"GCA_009905115.1_ASM990511v1","CP047573.1",8
"GCA_009905135.1_ASM990513v1","CP047577.1",4
"GCA_009905135.1_ASM990513v1","CP047578.1",7
"GCA_009905135.1_ASM990513v1","CP047579.1",1
"GCA_010706435.1_ASM1070643v1","CP048648.1",2
"GCA_011330935.1_ASM1133093v1","CP049079.1",9
"GCA_011331065.1_ASM1133106v1","CP049082.1",7
"GCA_011331065.1_ASM1133106v1","CP049083.1",3
"GCA_013372305.1_ASM1337230v1","CP054215.1",6
"GCA_013372325.1_ASM1337232v1","CP054220.1",1
"GCA_013372405.1_ASM1337240v1","CP054233.1",1
"GCA_013372425.1_ASM1337242v1","CP054237.1",7
"GCA_013374235.1_ASM1337423v1","AP023220.1",9
"GCA_013374235.1_ASM1337423v1","AP023221.1",4
"GCA_013374255.1_ASM1337425v1","AP023225.1",19
"GCA_013374275.1_ASM1337427v1","AP023227.1",2
"GCA_013374275.1_ASM1337427v1","AP023228.1",10
"GCA_013374295.1_ASM1337429v1","AP023231.1",5
"GCA_013374295.1_ASM1337429v1","AP023232.1",4
"GCA_013374315.1_ASM1337431v1","AP023236.1",9
"GCA_013376575.1_ASM1337657v1","CP049968.1",4
"GCA_013376575.1_ASM1337657v1","CP049969.1",5
"GCA_013376575.1_ASM1337657v1","CP049970.1",1
"GCA_013426075.1_ASM1342607v1","CP058652.1",1
"GCA_013426075.1_ASM1342607v1","CP058653.1",4
"GCA_013426095.1_ASM1342609v1","CP058657.1",1
"GCA_013426095.1_ASM1342609v1","CP058658.1",3
"GCA_013592195.1_ASM1359219v1","CP055625.1",1
"GCA_013727815.1_ASM1372781v1","CP056264.1",2
"GCA_013731515.1_ASM1373151v1","CP056305.1",5
"GCA_013732175.1_ASM1373217v1","CP056316.1",6
"GCA_013732175.1_ASM1373217v1","CP056317.1",8
"GCA_013740395.1_ASM1374039v1","CP056447.1",1
"GCA_013740395.1_ASM1374039v1","CP056449.1",3
"GCA_013741635.1_ASM1374163v1","CP056599.1",3
"GCA_013741635.1_ASM1374163v1","CP056600.1",3
"GCA_013748455.1_ASM1374845v1","CP056471.1",4
"GCA_013748665.1_ASM1374866v1","CP056493.1",4
"GCA_013749295.1_ASM1374929v1","CP056525.1",5
"GCA_013750815.1_ASM1375081v1","CP056571.1",1
"GCA_013752075.1_ASM1375207v1","CP056606.1",5
"GCA_013752295.1_ASM1375229v1","CP056619.1",1
"GCA_013783905.1_ASM1378390v1","CP056371.1",3
"GCA_013789905.1_ASM1378990v1","CP056787.1",8
"GCA_013790145.1_ASM1379014v1","CP056797.1",2
"GCA_013790245.1_ASM1379024v1","CP056801.1",1
"GCA_013790245.1_ASM1379024v1","CP056803.1",2
"GCA_013790405.1_ASM1379040v1","CP056819.1",1
"GCA_013791815.1_ASM1379181v1","CP056847.1",9
"GCA_013791985.1_ASM1379198v1","CP056843.1",10
"GCA_013795065.1_ASM1379506v1","CP056866.1",2
"GCA_013795545.1_ASM1379554v1","CP056871.1",4
"GCA_013795795.1_ASM1379579v1","CP056874.1",4
"GCA_013796065.1_ASM1379606v1","CP056877.1",5
"GCA_013798625.1_ASM1379862v1","CP056915.1",2
"GCA_013801205.1_ASM1380120v1","CP056956.1",1
"GCA_013802065.1_ASM1380206v1","CP056977.1",4
"GCA_013802065.1_ASM1380206v1","CP056978.1",5
"GCA_013802585.1_ASM1380258v1","CP056998.1",1
"GCA_013802585.1_ASM1380258v1","CP056999.1",7
"GCA_013812225.1_ASM1381222v1","CP057077.1",5
"GCA_013812575.1_ASM1381257v1","CP057088.1",1
"GCA_013822325.1_ASM1382232v1","CP057271.1",7
"GCA_013822575.1_ASM1382257v1","CP057277.1",7
"GCA_013823335.1_ASM1382333v1","CP057180.1",1
"GCA_013824985.1_ASM1382498v1","CP057288.1",12
"GCA_013825245.1_ASM1382524v1","CP057294.1",6
"GCA_013825245.1_ASM1382524v1","CP057295.1",1
"GCA_013827445.1_ASM1382744v1","CP057343.1",8
"GCA_013827685.1_ASM1382768v1","CP057341.1",8
"GCA_013828065.1_ASM1382806v1","CP057348.1",8
"GCA_013829445.1_ASM1382944v1","CP057369.1",8
"GCA_013829445.1_ASM1382944v1","CP057370.1",1
"GCA_013829905.1_ASM1382990v1","CP057379.1",4
"GCA_013830785.1_ASM1383078v1","CP057397.1",6
"GCA_013830785.1_ASM1383078v1","CP057399.1",1
"GCA_013830785.1_ASM1383078v1","CP057400.1",1
"GCA_013890795.1_ASM1389079v1","CP057635.1",7
"GCA_013891215.1_ASM1389121v1","CP057639.1",7
"GCA_013895455.1_ASM1389545v1","CP057714.1",7
