#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_12_length_165520_cov_11.953144	64539	65771	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.81	resfinder	Y08743	resfinder~~~mdf(A)_1~~~Y08743 mdf(A)_1
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_50_length_11233_cov_30.405611	146	1067	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	resfinder~~~mph(A)_2~~~U36578 mph(A)_2
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_50_length_11233_cov_30.405611	6362	7228	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	resfinder~~~sul1_5~~~EU780013 sul1_5
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_50_length_11233_cov_30.405611	7748	8536	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	resfinder~~~aadA5_1~~~AF137361 aadA5_1
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_50_length_11233_cov_30.405611	8667	9140	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	resfinder~~~dfrA17_1~~~FJ460238 dfrA17_1
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_50_length_11233_cov_30.405611	9159	9325	ant(3'')-Ia_1	1-174/972	===...../......	3/7	17.18	95.98	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_72_length_3739_cov_33.966685	2715	3590	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	resfinder~~~blaCTX-M-15_1~~~AY044436 Alternate name; UOE-1
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_81_length_2340_cov_37.390190	124	723	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	resfinder~~~aac(6')-Ib-cr_1~~~DQ303918 aac(6')-Ib-cr_1
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_81_length_2340_cov_37.390190	854	1684	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	HQ170510	resfinder~~~blaOXA-1_1~~~HQ170510 blaOXA-1_1
ECO-JSC-RGN-105293.fna	ECO-JSC-RGN-105293_202103232141_81_length_2340_cov_37.390190	1822	2266	catB3_1	1-445/633	===========....	0/0	70.30	99.78	resfinder	AJ009818	resfinder~~~catB3_1~~~AJ009818 catB3_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_122_length_557_cov_619.964583	1	314	sul1_5	1-314/867	======.........	0/0	36.22	100.00	resfinder	EU780013	resfinder~~~sul1_5~~~EU780013 sul1_5
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_12_length_133368_cov_43.776489	30216	31448	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	resfinder~~~mdf(A)_1~~~Y08743 mdf(A)_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_47_length_27108_cov_75.284747	611	1471	blaTEM-1B_1	1-861/861	===============	0/0	100.00	99.88	resfinder	AY458016	resfinder~~~blaTEM-1B_1~~~AY458016 Alternate name; RblaTEM-1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_53_length_16638_cov_292.456736	1384	2523	blaDHA-1_1	1-1140/1140	===============	0/0	100.00	100.00	resfinder	Y16410	resfinder~~~blaDHA-1_1~~~Y16410 AmpC-type
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_53_length_16638_cov_292.456736	6647	7291	qnrB4_1	1-645/645	===============	0/0	100.00	100.00	resfinder	DQ303921	resfinder~~~qnrB4_1~~~DQ303921 qnrB4_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_53_length_16638_cov_292.456736	16009	16638	sul1_15	211-840/840	...============	0/0	75.00	100.00	resfinder	EF667294	resfinder~~~sul1_15~~~EF667294 sul1_15
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_66_length_6415_cov_332.039602	147	1068	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	resfinder~~~mph(A)_2~~~U36578 mph(A)_2
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_80_length_3421_cov_273.831340	371	860	ARR-3_4	54-543/543	.==============	0/0	90.24	99.39	resfinder	FM207631	resfinder~~~ARR-3_4~~~FM207631 ARR-3_4
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_80_length_3421_cov_273.831340	908	1540	catB3_2	1-633/633	===============	0/0	100.00	100.00	resfinder	U13880	resfinder~~~catB3_2~~~U13880 catB3_2
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_80_length_3421_cov_273.831340	1678	2508	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	HQ170510	resfinder~~~blaOXA-1_1~~~HQ170510 blaOXA-1_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_80_length_3421_cov_273.831340	2639	3238	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	99.83	resfinder	DQ303918	resfinder~~~aac(6')-Ib-cr_1~~~DQ303918 aac(6')-Ib-cr_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_80_length_3421_cov_273.831340	3346	3421	ant(3'')-Ia_1	99-174/972	.==............	0/0	7.82	100.00	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_91_length_2231_cov_166.485702	26	823	blaOXA-48_1	1-798/798	===============	0/0	100.00	100.00	resfinder	AY236073	resfinder~~~blaOXA-48_1~~~AY236073 blaOXA-48_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_97_length_1720_cov_425.213025	2	168	ant(3'')-Ia_1	1-174/972	===...../......	3/7	17.18	95.98	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_98_length_1658_cov_70.358634	172	960	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	resfinder~~~aadA5_1~~~AF137361 aadA5_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_98_length_1658_cov_70.358634	1091	1564	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	resfinder~~~dfrA17_1~~~FJ460238 dfrA17_1
KLP-JSC-RGN-105204.fna	KLP-JSC-RGN-105204_202103232141_98_length_1658_cov_70.358634	1583	1658	ant(3'')-Ia_1	99-174/972	.==............	0/0	7.82	100.00	resfinder	X02340	resfinder~~~ant(3'')-Ia_1~~~X02340 ant(3'')-Ia_1
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_13_length_182081_cov_42.864195	352	1212	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	resfinder~~~aac(3)-IId_1~~~EU022314 aac(3)-IId_1
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_13_length_182081_cov_42.864195	6184	7044	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	resfinder~~~blaTEM-1B_1~~~AY458016 Alternate name; RblaTEM-1
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_17_length_160908_cov_31.173555	59966	61198	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.81	resfinder	Y08743	resfinder~~~mdf(A)_1~~~Y08743 mdf(A)_1
ECO-JSC-MOD-104872.fna	ECO-JSC-MOD-104872_202103232141_32_length_25551_cov_79.865902	18827	19702	blaCTX-M-3_1	1-876/876	===============	0/0	100.00	100.00	resfinder	Y10278	resfinder~~~blaCTX-M-3_1~~~Y10278 Amino acid sequences of CTX-M-3 and CTX-M-133 are identical
