GCA_014169115.1_ASM1416911v1,plasmid_AD482,AP022075.1,109
GCA_014169115.1_ASM1416911v1,plasmid_AA977,AP022074.1,92
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,24
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,87
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,89
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,103
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,41
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,44
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,74
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,78
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,93
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,96
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,102
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022069.1,115
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,120
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,120
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,131
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,131
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,147
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022069.1,147
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022069.1,149
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,157
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022069.1,61
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,65
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,68
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,70
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,72
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,83
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,112
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,150
GCA_014169115.1_ASM1416911v1,plasmid_AC748,AP022076.1,124
GCA_014169115.1_ASM1416911v1,plasmid_AB446,AP022073.1,91
GCA_014131575.1_ASM1413157v1,plasmid_AE638,CP048863.1,49
GCA_014131575.1_ASM1413157v1,plasmid_AE638,CP048863.1,58
