GCA_014169115.1_ASM1416911v1,plasmid_AD482,AP022075.1,GCA_014169115.1_ASM1416911v1_202109171340_110_length_3072_cov_358.917863
GCA_014169115.1_ASM1416911v1,plasmid_AB595,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_90_length_5151_cov_32.931021
GCA_014169115.1_ASM1416911v1,plasmid_AA977,AP022074.1,GCA_014169115.1_ASM1416911v1_202109171340_89_length_5227_cov_176.875728
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,GCA_014169115.1_ASM1416911v1_202109171340_24_length_69428_cov_28.734005
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,GCA_014169115.1_ASM1416911v1_202109171340_82_length_6793_cov_28.629988
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_86_length_6069_cov_28.029539
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_97_length_4251_cov_45.616675
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_99_length_4089_cov_26.166999
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,GCA_014169115.1_ASM1416911v1_202109171340_103_length_3670_cov_30.730587
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_115_length_2639_cov_198.085090
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1_ASM1416911v1_202109171340_115_length_2639_cov_198.085090
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022072.1,GCA_014169115.1_ASM1416911v1_202109171340_115_length_2639_cov_198.085090
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1_ASM1416911v1_202109171340_115_length_2639_cov_198.085090
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1_ASM1416911v1_202109171340_115_length_2639_cov_198.085090
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022069.1,GCA_014169115.1_ASM1416911v1_202109171340_115_length_2639_cov_198.085090
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022072.1,GCA_014169115.1_ASM1416911v1_202109171340_144_length_1032_cov_35.416754
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1_ASM1416911v1_202109171340_42_length_29767_cov_32.429808
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1_ASM1416911v1_202109171340_43_length_29157_cov_30.824759
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_71_length_9918_cov_28.165227
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1_ASM1416911v1_202109171340_77_length_8083_cov_31.467150
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1_ASM1416911v1_202109171340_125_length_1727_cov_25.859394
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,GCA_014169115.1_ASM1416911v1_202109171340_126_length_1716_cov_32.584503
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_59_length_14616_cov_35.330490
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_65_length_11665_cov_29.424491
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_68_length_10483_cov_32.163848
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022069.1,GCA_014169115.1_ASM1416911v1_202109171340_70_length_10094_cov_42.107018
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_73_length_9211_cov_30.199803
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_80_length_7260_cov_27.893359
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022069.1,GCA_014169115.1_ASM1416911v1_202109171340_133_length_1302_cov_68.568980
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_133_length_1302_cov_68.568980
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_137_length_1209_cov_24.785336
GCA_014169115.1_ASM1416911v1,plasmid_AA352,AP022070.1,GCA_014169115.1_ASM1416911v1_202109171340_139_length_1132_cov_26.276777
GCA_014169115.1_ASM1416911v1,plasmid_AC748,AP022076.1,GCA_014169115.1_ASM1416911v1_202109171340_121_length_2177_cov_591.648571
GCA_014169115.1_ASM1416911v1,plasmid_AB446,AP022073.1,GCA_014169115.1_ASM1416911v1_202109171340_91_length_5020_cov_63.117742
GCA_014131575.1_ASM1413157v1,plasmid_AE638,CP048863.1,GCA_014131575.1_ASM1413157v1_202109200955_55_length_10809_cov_20.411440
GCA_014131575.1_ASM1413157v1,plasmid_AA162,CP048864.1,GCA_014131575.1_ASM1413157v1_202109200955_69_length_4720_cov_44.243196
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_29_length_19426_cov_59.613210
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_31_length_14891_cov_54.352818
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_32_length_11568_cov_56.644156
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_33_length_11416_cov_54.665491
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056524.1,GCA_013749295.1_ASM1374929v1_202109200955_34_length_11089_cov_46.475663
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_36_length_10576_cov_59.144966
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_38_length_9740_cov_62.624651
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_40_length_7861_cov_50.323356
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_41_length_7697_cov_61.071916
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_44_length_5984_cov_59.180802
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_45_length_4491_cov_55.867467
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_48_length_4193_cov_58.032556
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_53_length_2627_cov_59.289412
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_55_length_2552_cov_57.175758
GCA_013749295.1_ASM1374929v1,plasmid_AA176,CP056525.1,GCA_013749295.1_ASM1374929v1_202109200955_56_length_2401_cov_48.708692
GCA_013749295.1_ASM1374929v1,plasmid_AA579,CP056526.1,GCA_013749295.1_ASM1374929v1_202109200955_49_length_4151_cov_1676.369907
GCA_014169275.1_ASM1416927v1,plasmid_AC529,AP022125.1,GCA_014169275.1_ASM1416927v1_202109200955_71_length_3124_cov_188.207875
GCA_014169275.1_ASM1416927v1,plasmid_AA159,AP022123.1,GCA_014169275.1_ASM1416927v1_202109200955_62_length_7360_cov_117.339417
GCA_014169275.1_ASM1416927v1,plasmid_AA474,AP022122.1,GCA_014169275.1_ASM1416927v1_202109200955_32_length_58127_cov_13.015500
GCA_014169275.1_ASM1416927v1,plasmid_AA474,AP022122.1,GCA_014169275.1_ASM1416927v1_202109200955_46_length_30590_cov_13.863802
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,GCA_014169275.1_ASM1416927v1_202109200955_30_length_64253_cov_11.970199
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,GCA_014169275.1_ASM1416927v1_202109200955_48_length_24532_cov_13.461381
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,GCA_014169275.1_ASM1416927v1_202109200955_49_length_23748_cov_13.609966
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,GCA_014169275.1_ASM1416927v1_202109200955_52_length_18334_cov_13.287252
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,GCA_014169275.1_ASM1416927v1_202109200955_54_length_15629_cov_12.397755
GCA_014169275.1_ASM1416927v1,plasmid_AA179,AP022121.1,GCA_014169275.1_ASM1416927v1_202109200955_64_length_6281_cov_14.064186
GCA_014169275.1_ASM1416927v1,plasmid_AA579,AP022124.1,GCA_014169275.1_ASM1416927v1_202109200955_76_length_1650_cov_1070.158897
GCA_014169275.1_ASM1416927v1,plasmid_AA579,AP022124.1,GCA_014169275.1_ASM1416927v1_202109200955_80_length_1470_cov_1090.155622
GCA_014169275.1_ASM1416927v1,plasmid_AA579,AP022124.1,GCA_014169275.1_ASM1416927v1_202109200955_87_length_1074_cov_1065.770855
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057972.1,GCA_013900205.1_ASM1390020v1_202109200955_19_length_105234_cov_31.645178
GCA_013900205.1_ASM1390020v1,plasmid_AA474,CP057972.1,GCA_013900205.1_ASM1390020v1_202109200955_45_length_5321_cov_146.311785
GCA_013900205.1_ASM1390020v1,plasmid_AA313,CP057971.1,GCA_013900205.1_ASM1390020v1_202109200955_14_length_131402_cov_38.297971
GCA_013900205.1_ASM1390020v1,plasmid_AA313,CP057971.1,GCA_013900205.1_ASM1390020v1_202109200955_48_length_4731_cov_36.847013
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,GCA_013745955.1_ASM1374595v1_202109200955_23_length_49561_cov_18.614638
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,GCA_013745955.1_ASM1374595v1_202109200955_28_length_33132_cov_19.281321
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,GCA_013745955.1_ASM1374595v1_202109200955_30_length_20893_cov_23.402100
GCA_013745955.1_ASM1374595v1,plasmid_AA734,CP056358.1,GCA_013745955.1_ASM1374595v1_202109200955_33_length_8321_cov_20.525629
GCA_013745955.1_ASM1374595v1,plasmid_AA579,CP056360.1,GCA_013745955.1_ASM1374595v1_202109200955_38_length_4200_cov_402.190032
