"contig_name","platon","rfplasmid","plascope","plasmid_count","classification"
"ECO-JSC-MOD-104868_202103232141_1_length_520672_cov_91.613486","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_10_length_186389_cov_103.143694","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_11_length_173929_cov_101.001317","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_12_length_160626_cov_95.370024","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_13_length_159030_cov_106.030632","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_14_length_147014_cov_110.741794","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_15_length_136520_cov_87.872100","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_16_length_124371_cov_109.440214","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_17_length_113771_cov_87.191118","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_18_length_109255_cov_110.228013","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_19_length_100064_cov_110.155890","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_2_length_420717_cov_100.926593","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_20_length_93412_cov_88.508662","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_21_length_75264_cov_111.139984","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_22_length_66015_cov_104.996603","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_23_length_65908_cov_89.960869","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_24_length_34211_cov_107.352815","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_25_length_31077_cov_97.513355","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_26_length_30105_cov_107.955375","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_27_length_27348_cov_116.039896","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_28_length_23180_cov_86.088170","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_29_length_22753_cov_193.703431","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_3_length_379848_cov_85.790767","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_30_length_20442_cov_107.649988","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_31_length_20331_cov_106.358102","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_32_length_19358_cov_107.295576","chromosome","plasmid","chromosome",1,"chromosome"
"ECO-JSC-MOD-104868_202103232141_33_length_18205_cov_192.888184","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_34_length_15970_cov_87.434468","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_35_length_14574_cov_89.349659","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_36_length_12995_cov_212.931336","chromosome","plasmid","plasmid",2,"plasmid"
"ECO-JSC-MOD-104868_202103232141_37_length_12740_cov_99.975124","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_38_length_12444_cov_122.136411","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_39_length_11665_cov_197.167328","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_4_length_348164_cov_107.526187","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_40_length_11126_cov_89.195583","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_41_length_10959_cov_109.306653","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_42_length_10678_cov_198.236393","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_43_length_10340_cov_210.171587","chromosome","plasmid","plasmid",2,"plasmid"
"ECO-JSC-MOD-104868_202103232141_44_length_10119_cov_190.272555","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_45_length_8660_cov_99.498194","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_46_length_7274_cov_108.282201","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_47_length_5768_cov_183.348796","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_48_length_5243_cov_110.418893","chromosome","plasmid","chromosome",1,"chromosome"
"ECO-JSC-MOD-104868_202103232141_49_length_5200_cov_449.543432","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_5_length_275687_cov_101.219691","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_50_length_4873_cov_192.516472","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_51_length_4642_cov_113.739102","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_52_length_4541_cov_684.934588","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_53_length_4433_cov_110.415060","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_54_length_4269_cov_110.102099","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_55_length_4141_cov_154.511073","plasmid","plasmid","plasmid",3,"plasmid"
"ECO-JSC-MOD-104868_202103232141_56_length_3089_cov_89.478752","chromosome","chromosome","chromosome",0,"chromosome"
"ECO-JSC-MOD-104868_202103232141_57_length_2749_cov_200.858533","chromosome","plasmid","plasmid",2,"plasmid"
