snp-dists 0.8.2	ECO-JSC-RGN-103794	ECO-JSC-RGN-103882	ECO-JSC-RGN-105232	ECO-JSC-RGN-103752	ECO-JSC-RGN-103760	ECO-JSC-RGN-103820	ECO-JSC-RGN-104568	ECO-JSC-RGN-103862	ECO-JSC-RGN-104210	ECO-JSC-RGN-103864	ECO-JSC-RGN-104196	ECO-JSC-RGN-105455	ECO-JSC-RGN-103802	ECO-JSC-RGN-103881	ECO-JSC-RGN-103895	ECO-JSC-RGN-104211	ECO-JSC-RGN-103890	ECO-JSC-RGN-104212	ECO-JSC-RGN-104552	ECO-JSC-RGN-104536	ECO-JSC-RGN-103681	ECO-JSC-RGN-104555	ECO-JSC-RGN-103856	ECO-JSC-RGN-103896	ECO-JSC-RGN-104562	ECO-JSC-RGN-103695	ECO-JSC-RGN-105446	ECO-JSC-RGN-103701	ECO-JSC-RGN-105235	ECO-JSC-RGN-103892	ECO-JSC-RGN-105243	ECO-JSC-RGN-104243	ECO-JSC-RGN-103871	ECO-JSC-RGN-103770	ECO-JSC-RGN-103777	ECO-JSC-RGN-104565	ECO-JSC-RGN-103797	ECO-JSC-MOD-104873	ECO-JSC-RGN-104546	ECO-JSC-RGN-105251	KLP-JSC-MOD-104895	ECO-JSC-RGN-103678	ECO-JSC-RGN-105250	ECO-JSC-RGN-104232	ECO-JSC-RGN-103721	ECO-JSC-RGN-104542	ECO-JSC-RGN-104205	ECO-JSC-RGN-105230	ECO-JSC-RGN-103679	ECO-JSC-RGN-103684	ECO-JSC-RGN-105248	ECO-JSC-RGN-105245	ECO-JSC-RGN-103778	ECO-JSC-RGN-105238	ECO-JSC-RGN-103761	ECO-JSC-RGN-103833	ECO-JSC-MOD-104868	ECO-JSC-RGN-103710	ECO-JSC-RGN-103801	ECO-JSC-RGN-103771	ECO-JSC-RGN-103754	ECO-JSC-RGN-103687	ECO-JSC-RGN-105447	ECO-JSC-RGN-103785	ECO-JSC-RGN-103870	ECO-JSC-RGN-103817	ECO-JSC-RGN-103834	ECO-JSC-RGN-103805	ECO-JSC-RGN-103747	ECO-JSC-RGN-104229	ECO-JSC-RGN-103705	ECO-JSC-MOD-104872	ECO-JSC-MOD-104875	ECO-JSC-RGN-105252	ECO-JSC-RGN-103746	ECO-JSC-RGN-103737	ECO-JSC-RGN-103720	ECO-JSC-RGN-103675	ECO-JSC-RGN-105249	ECO-JSC-RGN-104544	ECO-JSC-RGN-103789	ECO-JSC-RGN-103689	ECO-JSC-RGN-103758	ECO-JSC-RGN-103693	ECO-JSC-RGN-103793	ECO-JSC-RGN-104540	ECO-JSC-RGN-104224	ECO-JSC-RGN-103688	ECO-JSC-RGN-103781	ECO-JSC-RGN-103709	ECO-JSC-RGN-104553	ECO-JSC-RGN-103779	ECO-JSC-RGN-103889	ECO-JSC-RGN-105452	ECO-JSC-RGN-103841	ECO-JSC-RGN-103796	ECO-JSC-RGN-104549	ECO-JSC-RGN-103791
ECO-JSC-RGN-103794	0	1083	7	12	10	7	10	7	8	7	12	7	15	16	13	7	13	11	12	7	1084	11	8	7	8	10	7	10	7	9	11	7	7	9	7	10	7	9	6	11	9	7	11	9	11	11	7	10	10	1086	11	11	10	6	1083	30	8	1084	9	7	7	8	10	1087	7	8	30	13	384	1087	6	40	7	12	7	8	7	9	10	11	10	6	6	9	9	13	9	8	9	10	11	7	8	10	9	9	10	10
ECO-JSC-RGN-103882	1083	0	1078	1083	1081	1078	1081	1078	1079	1078	1083	1078	1086	1087	1084	1078	1084	1082	1083	1078	5	1082	1079	1078	1079	1081	1078	1081	1078	1080	1082	1078	1078	1080	1078	1081	1078	1080	1077	1082	1080	1078	1082	1080	1082	1082	1078	1081	1081	7	1082	1082	1081	1077	6	1083	1079	7	1080	1078	1078	1079	1081	8	1078	1079	1083	1083	1089	10	1077	1075	1078	1083	1078	1079	1078	1080	1081	1082	1081	1077	1077	1080	1080	1084	1080	1079	1080	1081	1082	1078	1079	1081	1080	1080	1081	1081
ECO-JSC-RGN-105232	7	1078	0	7	5	0	5	2	3	2	7	0	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-103752	12	1083	7	0	8	7	10	7	8	7	12	7	11	12	9	7	13	11	12	7	1084	11	8	7	8	6	7	6	7	9	11	7	7	5	7	8	7	9	6	11	9	7	11	5	11	11	7	8	6	1086	11	11	6	6	1083	30	8	1084	9	7	7	8	6	1087	7	8	30	13	384	1087	6	40	7	12	7	6	7	5	10	11	10	6	6	5	9	13	5	8	9	10	11	7	4	10	9	9	6	10
ECO-JSC-RGN-103760	10	1081	5	8	0	5	8	5	6	5	10	5	11	12	9	5	11	9	10	5	1082	9	6	5	6	6	5	6	5	7	9	5	5	5	5	4	5	7	4	9	7	5	9	5	9	9	5	4	6	1084	9	9	6	4	1081	28	6	1082	7	5	5	6	6	1085	5	6	28	11	382	1085	4	38	5	10	5	4	5	5	8	9	8	4	4	5	7	11	5	6	7	8	9	5	4	8	7	7	6	8
ECO-JSC-RGN-103820	7	1078	0	7	5	0	5	2	3	2	7	0	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-104568	10	1081	5	10	8	5	0	5	6	5	10	5	13	14	11	5	11	9	10	5	1082	9	6	5	6	8	5	8	5	7	9	5	5	7	5	8	5	7	4	9	7	5	9	7	9	9	5	8	8	1084	9	9	8	4	1081	28	6	1082	7	5	5	6	8	1085	5	6	28	11	382	1085	4	38	5	10	5	6	5	7	8	9	8	4	4	7	7	11	7	6	7	8	9	5	6	8	7	7	8	8
ECO-JSC-RGN-103862	7	1078	2	7	5	2	5	0	3	2	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
ECO-JSC-RGN-104210	8	1079	3	8	6	3	6	3	0	3	8	3	11	12	9	3	9	7	8	3	1080	7	4	3	4	6	3	6	3	5	7	3	3	5	3	6	3	5	2	7	5	3	7	5	7	7	3	6	6	1082	7	7	6	2	1079	26	4	1080	5	3	3	4	6	1083	3	4	26	9	380	1083	2	36	3	8	3	4	3	5	6	7	6	2	2	5	5	9	5	4	5	6	7	3	4	6	5	5	6	6
ECO-JSC-RGN-103864	7	1078	2	7	5	2	5	2	3	0	7	2	10	11	8	2	8	6	7	2	1079	6	3	2	3	5	2	5	2	4	6	2	2	4	2	5	2	4	1	6	4	2	6	4	6	6	2	5	5	1081	6	6	5	1	1078	25	3	1079	4	2	2	3	5	1082	2	3	25	8	379	1082	1	35	2	7	2	3	2	4	5	6	5	1	1	4	4	8	4	3	4	5	6	2	3	5	4	4	5	5
