"Sample","SPECIES","MLST-type","previously_failed","Total length","# contigs (>= 0 bp)","# contigs (>= 1000 bp)","# contigs (>= 5000 bp)","# contigs (>= 10000 bp)","# contigs (>= 25000 bp)","# contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 1000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","# contigs","Largest contig","GC (%)","N50","N75","L50","L75","# N's per 100 kbp"
"UNK-JSC-RGN-105342","-","-",TRUE,1892921,346,210,105,52,12,1,1892921,1797585,1515877,1132859,550319,212375,346,212375,62.04,13137,6425,36,89,7.08
"ECO-JSC-RGN-105296","senterica","-",TRUE,2488923,156,140,92,64,35,11,2488923,2477671,2350564,2139097,1694047,814755,156,108414,50.34,37156,17780,22,44,19.73
"UNK-JSC-RGN-105477","-","-",FALSE,2639678,32,32,25,22,19,17,2639678,2639678,2616812,2598145,2550321,2482609,32,356691,55.75,150316,102783,6,12,0.8
"UNK-JSC-RGN-105478","-","-",FALSE,2640269,30,30,25,22,19,17,2640269,2640269,2624357,2603312,2555575,2487864,30,358930,55.75,166273,107377,6,11,2.65
"UNK-JSC-RGN-105476","-","-",FALSE,2640545,28,26,21,19,17,16,2640545,2639027,2622097,2610889,2581702,2546307,28,356726,55.74,213374,100296,5,10,0.95
"UNK-JSC-RGN-105475","-","-",FALSE,2720679,32,32,26,23,19,16,2720679,2720679,2698502,2681118,2617495,2508534,32,270045,55.74,166277,113206,7,11,1.36
"PSA-JSC-RGN-105473","paeruginosa","-",FALSE,7126509,220,207,172,149,94,47,7126509,7117567,7031153,6857146,5953673,4206631,220,212300,65.63,58104,35155,36,74,22.28
"UNK-JSC-RGN-105341","kpneumoniae","11.0",TRUE,7293022,653,479,287,189,87,31,7293022,7170165,6666441,5978785,4329164,2346146,653,145074,59.14,32410,14381,64,148,15.25
"KLP-JSC-RGN-105340","kpneumoniae","-",TRUE,9849960,528,487,367,276,133,39,9849960,9821902,9484188,8793127,6431532,3121755,528,183598,54.24,35632,19673,83,176,11.81
"ECO-JSC-RGN-105246","ecoli","2450.0",TRUE,10042266,490,427,304,243,141,60,10042266,9998202,9682382,9236971,7610741,4747399,490,171419,52.94,47599,25884,66,138,9.26
"ECO-JSC-RGN-105254","smaltophilia","94.0",TRUE,10133641,465,433,285,198,73,35,10133641,10112132,9714915,9069251,6941009,5689671,465,524261,58.43,67602,20817,25,102,21.6
"ECO-JSC-RGN-105453","smaltophilia","94.0",FALSE,10193884,381,343,255,185,85,45,10193884,10168341,9942574,9432796,7799038,6363970,381,523050,58.55,89572,28896,28,80,26.05
"ECO-JSC-RGN-105233","ecoli","-",TRUE,10374285,325,277,190,169,121,68,10374285,10341540,10123769,9963944,9154762,7172347,325,335306,54.2,84492,42483,37,82,5.36
"KLP-JSC-RGN-105192","kpneumoniae","-",TRUE,10473016,503,448,341,259,135,60,10473016,10433508,10167365,9581449,7581455,4953364,503,220482,54.31,46626,22682,66,147,8.7
"KLP-JSC-RGN-105471","ecoli","-",FALSE,10589155,193,158,121,104,80,57,10589155,10565932,10483828,10355471,9906266,9107454,193,435852,54.13,184201,93412,20,40,10.67
"PSA-JSC-RGN-105472","kpneumoniae","11.0",FALSE,12039599,301,258,215,188,132,83,12039599,12010458,11898445,11691371,10726141,8928955,301,436669,62.26,82705,48273,41,86,18.14
